Season,Game_ID,Game_Date,Team,Location,Wins_Entering_Gm,Losses_Entering_Gm,Team_Minutes,Final_Score,Lead_Changes,Ties,Largest_Lead,Full_Timeouts,Short_Timeouts,Qtr_4_Score,L2M_Score,Social Following (Combined Facebook and Twitter,Combined Social Following,Even Combined Social Followings (Missing first)
2016-17,21600052,11/1/2016,MIN,H,0,2,240,116,4,2,40,5,0,97,112,2.34,4.76,32.55
2016-17,21600052,11/1/2016,MEM,A,2,1,240,80,3,0,3,3,2,59,78,2.42,10.94,4.4
2016-17,21600053,11/1/2016,SAS,H,4,0,,,,,,,,,,8.52,10.18,11.08
2016-17,21600053,11/1/2016,UTA,A,1,2,,,,,,,,,,1.66,13.2,12.78
2016-17,21600054,11/1/2016,GSW,A,2,1,240,127,2,0,35,4,1,100,123,11.54,14.56,3.97
2016-17,21600054,11/1/2016,POR,H,2,1,240,104,2,0,7,5,1,73,95,3.02,5.93,6.49
2016-17,21600055,11/2/2016,TOR,A,2,1,240,113,4,5,12,3,1,84,104,2.91,4.96,6.32
2016-17,21600055,11/2/2016,WAS,H,0,2,240,103,3,3,12,5,1,75,98,2.05,4.28,23.86
2016-17,21600056,11/2/2016,PHI,A,0,3,240,93,3,1,13,4,2,73,90,2.23,4.54,10.99
2016-17,21600056,11/2/2016,CHA,H,2,1,240,109,3,6,18,4,0,85,104,2.31,5.78,4.88
2016-17,21600057,11/2/2016,BKN,H,1,3,240,109,2,0,21,4,2,92,103,3.47,5.89,13.47
2016-17,21600057,11/2/2016,DET,A,3,1,240,101,1,0,3,4,2,81,98,2.42,7.37,7.84
2016-17,21600058,11/2/2016,HOU,A,2,2,240,118,2,0,28,4,0,100,116,4.95,12.56,17.04
2016-17,21600058,11/2/2016,NYK,H,1,2,240,99,1,0,2,4,0,78,92,7.61,9.85,4.06
2016-17,21600059,11/2/2016,ATL,H,3,0,240,116,3,2,12,5,1,94,112,2.24,29.29,41.38
2016-17,21600059,11/2/2016,LAL,A,1,3,240,123,4,5,7,4,0,90,116,27.05,29.19,14.02
2016-17,21600060,11/2/2016,NOP,A,0,4,265,83,4,1,7,6,2,59,75,2.14,4.56,29.31
2016-17,21600060,11/2/2016,MEM,H,2,2,265,89,5,6,10,4,4,66,72,2.42,13.15,6.32
2016-17,21600061,11/2/2016,BOS,H,2,1,,,,,,,,,,10.73,32.35,10.65
2016-17,21600061,11/2/2016,CHI,A,3,0,,,,,,,,,,21.62,27.12,5.22
2016-17,21600062,11/2/2016,DAL,A,0,3,240,81,1,2,1,6,1,59,80,5.5,7.16,5.81
2016-17,21600062,11/2/2016,UTA,H,2,2,240,97,1,0,20,3,2,66,92,1.66,4.12,18.34
2016-17,21600063,11/2/2016,PHX,H,0,4,,,,,,,,,,2.46,5.48,12.9
2016-17,21600063,11/2/2016,POR,A,2,2,,,,,,,,,,3.02,7.84,10.94
2016-17,21600064,11/2/2016,LAC,H,3,0,240,83,10,7,3,5,2,66,78,4.82,12.9,5.28
2016-17,21600064,11/2/2016,OKC,A,3,0,240,85,10,5,10,4,1,65,81,8.08,12.23,29.19
2016-17,21600065,11/3/2016,ORL,H,1,3,240,102,3,3,13,4,0,84,100,4.15,6.41,14.82
2016-17,21600065,11/3/2016,SAC,A,2,3,240,94,3,2,8,4,0,78,92,2.26,4.18,10.52
2016-17,21600066,11/3/2016,MIL,H,2,2,,,,,,,,,,1.92,6.01,4.47
2016-17,21600066,11/3/2016,IND,A,2,2,,,,,,,,,,4.09,6.57,23.67
2016-17,21600067,11/3/2016,DEN,A,1,2,240,102,2,1,14,3,2,88,99,2.48,4.82,13.47
2016-17,21600067,11/3/2016,MIN,H,1,2,240,99,2,1,15,6,2,75,97,2.34,13.07,7.16
2016-17,21600068,11/3/2016,BOS,A,3,1,240,122,2,2,3,4,2,83,109,10.73,19.33,21.42
2016-17,21600068,11/3/2016,CLE,H,4,0,240,128,2,2,20,5,1,100,119,8.6,20.14,4.34
2016-17,21600069,11/3/2016,GSW,H,3,1,,,,,,,,,,11.54,19.62,4.9
2016-17,21600069,11/3/2016,OKC,A,4,0,,,,,,,,,,8.08,10.32,5.93
2016-17,21600070,11/4/2016,ATL,A,3,1,240,92,2,1,1,6,1,63,85,2.24,4.29,10.91
2016-17,21600070,11/4/2016,WAS,H,0,3,240,95,2,0,16,6,1,71,93,2.05,21.81,12.23
2016-17,21600071,11/4/2016,MIA,A,2,2,240,87,0,1,12,5,2,72,83,19.76,22.67,29.39
2016-17,21600071,11/4/2016,TOR,H,3,1,240,96,1,3,16,4,0,75,90,2.91,6.38,14
2016-17,21600072,11/4/2016,BKN,H,2,3,240,95,0,0,13,5,3,70,89,3.47,5.78,5.5
2016-17,21600072,11/4/2016,CHA,A,3,1,240,99,1,2,7,4,2,73,90,2.31,23.93,8.24
2016-17,21600073,11/4/2016,CHI,H,3,1,,,,,,,,,,21.62,29.23,13.11
2016-17,21600073,11/4/2016,NYK,A,1,3,,,,,,,,,,7.61,12.43,10.5
2016-17,21600074,11/4/2016,LAC,A,3,1,240,99,1,0,21,4,1,76,92,4.82,7.24,12.87
2016-17,21600074,11/4/2016,MEM,H,3,2,240,88,0,0,3,5,3,57,80,2.42,4.56,7.18
2016-17,21600075,11/4/2016,NOP,H,0,5,265,111,4,4,7,6,2,79,97,2.14,4.6,28.28
2016-17,21600075,11/4/2016,PHX,A,1,4,265,112,4,8,9,6,3,81,95,2.46,7.96,4.08
2016-17,21600076,11/4/2016,DAL,H,0,4,240,95,1,2,7,6,2,76,91,5.5,8.52,8.29
2016-17,21600076,11/4/2016,POR,A,2,3,240,105,1,2,16,4,0,79,97,3.02,11.54,11.51
2016-17,21600077,11/4/2016,SAS,A,4,1,240,100,1,2,19,4,1,82,98,8.52,10.18,22
2016-17,21600077,11/4/2016,UTA,H,3,2,240,86,1,0,8,4,1,66,83,1.66,13.2,4.65
2016-17,21600078,11/4/2016,GSW,A,4,1,240,97,0,0,0,6,2,82,93,11.54,38.59,24.64
2016-17,21600078,11/4/2016,LAL,H,2,3,240,117,0,0,22,5,1,93,113,27.05,29.39,30.52
2016-17,21600079,11/5/2016,MIN,A,1,3,240,92,1,5,1,5,1,72,86,2.34,10.42,4.28
2016-17,21600079,11/5/2016,OKC,H,4,1,240,112,1,1,26,5,1,90,108,8.08,16.68,6.29
2016-17,21600080,11/5/2016,CLE,A,5,0,240,102,6,2,18,5,1,82,99,8.6,10.83,12.69
2016-17,21600080,11/5/2016,PHI,H,0,4,240,101,6,4,5,5,2,80,101,2.23,6.38,16.23
2016-17,21600081,11/5/2016,ORL,H,2,3,240,88,3,3,6,5,3,61,86,4.15,6.2,10.03
2016-17,21600081,11/5/2016,WAS,A,1,3,240,86,3,2,12,5,3,70,82,2.05,4.53,4.16
2016-17,21600082,11/5/2016,DEN,A,2,2,,,,,,,,,,2.48,4.9,13.03
2016-17,21600082,11/5/2016,DET,H,3,2,,,,,,,,,,2.42,24.04,14.45
2016-17,21600083,11/5/2016,CHI,A,3,2,240,94,0,1,0,4,0,64,88,21.62,25.71,4.94
2016-17,21600083,11/5/2016,IND,H,2,3,240,111,0,0,27,4,1,88,104,4.09,6.33,7.24
2016-17,21600084,11/5/2016,ATL,H,3,2,240,112,4,3,21,4,2,93,112,2.24,7.19,10.78
2016-17,21600084,11/5/2016,HOU,A,3,2,240,97,3,2,4,4,0,84,95,4.95,6.87,9.66
2016-17,21600085,11/5/2016,MIL,H,3,2,240,117,0,0,31,4,0,90,114,1.92,4.18,21.68
2016-17,21600085,11/5/2016,SAC,A,2,4,240,91,0,1,0,3,1,63,88,2.26,7.08,7.97
2016-17,21600086,11/5/2016,LAC,A,4,1,240,116,1,0,28,5,1,89,113,4.82,13.34,4.57
2016-17,21600086,11/5/2016,SAS,H,5,1,240,92,0,0,8,4,1,72,86,8.52,16.13,23.28
2016-17,21600087,11/6/2016,NYK,H,2,3,240,109,3,1,13,6,1,80,97,7.61,9.27,4.55
2016-17,21600087,11/6/2016,UTA,A,3,3,240,114,3,4,9,4,2,78,106,1.66,4.68,11.02
2016-17,21600088,11/6/2016,POR,A,3,3,240,100,7,5,9,4,1,76,98,3.02,5.44,6.55
2016-17,21600088,11/6/2016,MEM,H,3,3,240,94,6,7,10,5,2,77,94,2.42,4.68,5.16
2016-17,21600089,11/6/2016,SAC,A,2,5,240,96,4,5,7,5,0,68,90,2.26,5.17,11.55
2016-17,21600089,11/6/2016,TOR,H,4,1,240,91,4,7,11,5,1,66,88,2.91,8.41,22.27
2016-17,21600090,11/6/2016,DAL,H,0,5,265,86,3,4,11,5,1,59,69,5.5,7.42,7.92
2016-17,21600090,11/6/2016,MIL,A,4,2,265,75,2,1,13,7,1,56,70,1.92,12.65,5.39
2016-17,21600091,11/6/2016,BOS,H,3,2,240,107,0,1,2,3,1,83,99,10.73,13.21,35.57
2016-17,21600091,11/6/2016,DEN,A,2,3,240,123,1,1,25,5,0,103,123,2.48,29.53,7.08
2016-17,21600092,11/6/2016,LAL,H,3,3,240,119,2,0,16,4,2,83,104,27.05,29.51,6.61
2016-17,21600092,11/6/2016,PHX,A,2,4,240,108,2,1,1,5,2,76,97,2.46,4.69,4.45
2016-17,21600093,11/7/2016,PHI,H,0,5,,,,,,,,,,2.23,3.89,21.81
2016-17,21600093,11/7/2016,UTA,A,4,3,,,,,,,,,,1.66,6.61,9.65
2016-17,21600094,11/7/2016,HOU,A,3,3,240,114,13,2,11,3,0,84,108,4.95,7,13.15
2016-17,21600094,11/7/2016,WAS,H,1,4,240,106,12,3,11,5,1,83,102,2.05,6.14,4.69
2016-17,21600095,11/7/2016,IND,A,3,3,240,100,0,0,3,4,1,78,95,4.09,6.4,4.76
2016-17,21600095,11/7/2016,CHA,H,4,1,240,122,1,1,28,4,0,99,118,2.31,23.93,13.46
2016-17,21600096,11/7/2016,CHI,H,3,3,,,,,,,,,,21.62,25.77,26.44
2016-17,21600096,11/7/2016,ORL,A,3,3,,,,,,,,,,4.15,23.91,9.85
2016-17,21600097,11/7/2016,MIA,A,2,3,240,85,0,0,2,3,1,61,82,19.76,27.84,6.49
2016-17,21600097,11/7/2016,OKC,H,5,1,240,97,1,1,24,5,0,83,95,8.08,12.9,12.17
2016-17,21600098,11/7/2016,LAC,H,5,1,240,114,1,0,43,4,0,91,114,4.82,7.24,5.17
2016-17,21600098,11/7/2016,DET,A,4,2,240,82,1,2,2,4,0,53,77,2.42,4.56,4.14
2016-17,21600099,11/7/2016,NOP,A,0,6,240,106,4,5,5,6,0,78,97,2.14,13.68,48.67
2016-17,21600099,11/7/2016,GSW,H,4,2,240,116,5,4,21,5,0,84,109,11.54,13.78,21.99
2016-17,21600100,11/8/2016,ATL,A,4,2,240,110,6,3,18,4,0,84,106,2.24,10.84,4.51
2016-17,21600100,11/8/2016,CLE,H,6,0,240,106,6,4,5,6,0,79,97,8.6,10.94,4.73
2016-17,21600101,11/8/2016,MIN,A,1,4,240,110,3,6,2,5,2,84,108,2.34,5.81,15.63
2016-17,21600101,11/8/2016,BKN,H,2,4,240,119,3,2,9,4,0,88,110,3.47,5.95,7.37
2016-17,21600102,11/8/2016,DEN,A,3,3,240,107,8,5,7,6,2,76,105,2.48,4.9,6.07
2016-17,21600102,11/8/2016,MEM,H,3,4,240,108,9,4,8,6,2,79,106,2.42,4.88,13.07
2016-17,21600103,11/8/2016,PHX,A,2,5,240,121,0,2,0,6,1,82,109,2.46,5.48,14.02
2016-17,21600103,11/8/2016,POR,H,4,3,240,124,0,0,18,5,0,89,113,3.02,8.52,7.73
2016-17,21600104,11/8/2016,DAL,A,1,5,240,109,3,3,12,5,2,83,101,5.5,32.55,10.63
2016-17,21600104,11/8/2016,LAL,H,4,3,240,97,2,5,10,5,2,77,93,27.05,29.19,4.38
2016-17,21600105,11/8/2016,NOP,A,0,7,240,94,0,1,0,5,2,70,83,2.14,4.4,24.1
2016-17,21600105,11/8/2016,SAC,H,3,5,240,102,0,0,12,4,1,76,93,2.26,5.73,35.13
2016-17,21600106,11/9/2016,BKN,A,3,4,240,96,2,3,14,4,1,71,88,3.47,11.08,4.65
2016-17,21600106,11/9/2016,NYK,H,2,4,240,110,2,1,20,4,1,72,104,7.61,18.34,10.83
2016-17,21600107,11/9/2016,BOS,A,3,3,240,93,0,1,0,4,1,69,91,10.73,12.78,6.61
2016-17,21600107,11/9/2016,WAS,H,1,5,240,118,0,0,27,4,0,89,114,2.05,3.71,11.62
2016-17,21600108,11/9/2016,UTA,A,5,3,240,98,5,3,10,5,1,78,94,1.66,3.97,6.33
2016-17,21600108,11/9/2016,CHA,H,5,1,240,104,5,5,10,4,2,76,103,2.31,4.65,14.2
2016-17,21600109,11/9/2016,MIN,A,1,5,240,123,0,0,30,4,1,97,117,2.34,6.49,22.18
2016-17,21600109,11/9/2016,ORL,H,3,4,240,107,0,1,0,6,1,77,101,4.15,8.24,7.86
2016-17,21600110,11/9/2016,IND,H,3,4,265,122,8,6,8,6,3,84,100,4.09,6.32,10.32
2016-17,21600110,11/9/2016,PHI,A,0,6,265,115,7,1,10,7,4,84,104,2.23,4.47,4.14
2016-17,21600111,11/9/2016,ATL,H,5,2,240,115,5,6,17,4,2,94,109,2.24,23.86,4.48
2016-17,21600111,11/9/2016,CHI,A,4,3,240,107,4,5,5,4,3,88,101,21.62,29.7,38.59
2016-17,21600112,11/9/2016,OKC,H,6,1,,,,,,,,,,8.08,10.99,10.34
2016-17,21600112,11/9/2016,TOR,A,4,2,,,,,,,,,,2.91,5.37,19.25
2016-17,21600113,11/9/2016,PHX,H,2,6,,,,,,,,,,2.46,4.88,6.2
2016-17,21600113,11/9/2016,DET,A,4,3,,,,,,,,,,2.42,7.37,14.1
2016-17,21600114,11/9/2016,HOU,A,4,3,240,101,7,2,13,5,0,85,101,4.95,13.47,9.92
2016-17,21600114,11/9/2016,SAS,H,5,2,240,99,7,4,2,5,2,80,97,8.52,13.34,23.85
2016-17,21600115,11/9/2016,LAC,H,6,1,240,111,0,0,48,3,1,93,108,4.82,7.84,7.24
2016-17,21600115,11/9/2016,POR,A,5,3,240,80,0,1,0,6,1,50,73,3.02,8.52,3.9
2016-17,21600116,11/9/2016,DAL,A,2,5,240,95,0,2,0,5,2,68,88,5.5,17.04,4.83
2016-17,21600116,11/9/2016,GSW,H,5,2,240,116,0,0,33,6,1,84,112,11.54,13.68,22.18
2016-17,21600117,11/10/2016,NOP,A,0,8,240,112,3,3,15,5,2,88,106,2.14,4.06,7.56
2016-17,21600117,11/10/2016,MIL,H,4,3,240,106,2,7,5,5,1,81,100,1.92,23.54,10.56
2016-17,21600118,11/10/2016,CHI,A,4,4,240,98,10,8,6,4,3,70,88,21.62,41.38,4.8
2016-17,21600118,11/10/2016,MIA,H,2,4,240,95,9,6,8,5,3,70,84,19.76,22.24,5.16
2016-17,21600119,11/10/2016,DEN,H,3,4,,,,,,,,,,2.48,14.02,38.59
2016-17,21600119,11/10/2016,GSW,A,6,2,,,,,,,,,,11.54,38.59,7.21
2016-17,21600120,11/10/2016,LAL,A,4,4,240,101,2,0,10,4,2,70,94,27.05,29.31,10.57
2016-17,21600120,11/10/2016,SAC,H,4,5,240,91,2,2,19,5,1,73,87,2.26,6.35,9.92
2016-17,21600121,11/11/2016,IND,A,4,4,265,105,8,10,14,7,2,72,93,4.09,6.32,10.5
2016-17,21600121,11/11/2016,PHI,H,0,7,265,109,8,5,7,6,1,76,94,2.23,10.83,22.18
2016-17,21600122,11/11/2016,CLE,A,6,1,,,,,,,,,,8.6,10.65,13.88
2016-17,21600122,11/11/2016,WAS,H,2,5,,,,,,,,,,2.05,4.96,10.83
2016-17,21600123,11/11/2016,TOR,A,5,2,240,113,2,2,16,4,2,79,105,2.91,5.22,4.94
2016-17,21600123,11/11/2016,CHA,H,6,1,240,111,2,3,10,6,2,82,102,2.31,6.46,5.73
2016-17,21600124,11/11/2016,ORL,H,3,5,240,74,5,4,7,4,3,64,72,4.15,5.81,6.07
2016-17,21600124,11/11/2016,UTA,A,5,4,240,87,5,2,13,5,1,60,82,1.66,12.39,8.91
2016-17,21600125,11/11/2016,BOS,H,3,4,240,115,0,0,30,4,0,86,112,10.73,18.34,7.64
2016-17,21600125,11/11/2016,NYK,A,3,4,240,87,0,1,0,4,0,73,83,7.61,12.43,7.97
2016-17,21600126,11/11/2016,LAC,A,7,1,240,110,2,4,11,5,1,82,102,4.82,12.9,29.29
